dim1,dim2
6.6282883,-1.4145339
7.3238797,-1.9831228
4.2999306,-22.054152
5.4624724,-0.67868114
9.321982,-1.6108198
3.9147296,-22.47658
8.264406,1.0983318
10.59767,-3.0667522
7.7320137,-4.780953
2.1652756,20.571297
9.382227,-3.2263534
7.102119,-1.9856611
11.64633,13.286925
-0.14926815,-19.520203
5.280021,-1.5920391
11.344527,9.702152
10.680154,-0.83045214
6.1332965,-2.7614691
4.0706506,2.349182
1.9218698,-20.547962
6.9949293,-0.46718326
6.560257,-4.146897
7.645402,-4.6263523
6.793281,1.7492211
9.526383,-0.6189181
1.6222146,21.153965
1.8511667,-18.922503
4.2250547,1.7990013
0.14964212,-18.411491
0.259836,-20.30354
2.607682,21.819912
2.2290242,20.612421
2.1757162,-19.065622
10.876647,-2.430636
3.7547069,-20.431047
2.5419514,21.126728
2.0222995,20.54101
1.4733077,-20.220053
5.379056,-2.0988812
4.5976152,2.044437
10.31347,0.43051195
5.369919,-2.34465
10.314767,0.21704175
-0.27577618,-20.291618
9.50878,-1.494955
10.711926,11.529209
10.175958,-1.5877913
5.5966434,-2.9164104
6.0953155,-1.6083663
9.114669,-2.8226998
-0.50378984,-21.44615
11.97836,10.996535
1.8362199,-19.788162
4.5302253,-22.71617
8.279637,-1.6999669
1.2728852,-22.100088
9.364153,-3.1485472
8.940118,-4.5231447
7.214984,1.6292685
2.1213908,-20.519382
-0.0568474,-20.789732
-0.052923247,-18.430216
6.5563464,-1.6323915
13.993194,9.674578
8.811918,-0.9842074
2.0763586,21.785025
8.433623,-0.26654232
0.5528712,-18.587519
6.1405764,-1.9594829
11.727548,12.371873
7.4963264,-0.003855268
8.559373,0.53020394
8.7599,-2.6607063
6.24821,-20.002457
12.132782,10.606389
8.427513,-3.7580888
4.3479433,-21.525831
0.6626885,-19.87319
0.86544806,-20.530869
2.7593868,21.35463
1.0281368,-18.547792
11.508575,12.052722
5.4863873,-22.072847
5.9836745,1.7783964
7.1360497,-2.8845153
1.5143678,-19.503357
